日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/01/02,27997826,16549619798,590.00,593.00,589.00,593.00, 0.00,20667
113/01/03,40134497,23267025945,584.00,585.00,576.00,578.00,-15.00,56916
113/01/04,18063758,10466284102,580.00,581.00,577.00,580.00,+2.00,15010
113/01/05,22008878,12685460114,578.00,580.00,574.00,576.00,-4.00,28660
113/01/08,19270119,11232942053,582.00,585.00,579.00,583.00,+7.00,19950
113/01/09,23718766,13909252422,588.00,589.00,583.00,586.00,+3.00,23975
113/01/10,13708117,8006229126,581.00,586.00,580.00,584.00,-2.00,16104
113/01/11,27842729,16323168586,586.00,589.00,583.00,586.00,+2.00,20754
113/01/12,17636558,10304253419,581.00,588.00,581.00,584.00,-2.00,15765
113/01/15,21900687,12873769022,590.00,590.00,585.00,586.00,+2.00,21886
113/01/16,28889681,16817280777,581.00,588.00,579.00,580.00,-6.00,21938
113/01/17,46857735,27229863028,583.00,584.00,578.00,581.00,+1.00,28790
113/01/18,36746623,21575062923,586.00,589.00,585.00,588.00,+7.00,28621
113/01/19,176166037,109423769320,625.00,627.00,614.00,626.00,+38.00,207364
113/01/22,70829523,44436449501,633.00,633.00,623.00,626.00, 0.00,56376
113/01/23,45761889,28681559251,629.00,629.00,622.00,628.00,+2.00,34729
113/01/24,29905121,18779693566,628.00,630.00,624.00,627.00,-1.00,27062
113/01/25,59214638,37803501446,635.00,642.00,633.00,642.00,+15.00,85006
113/01/26,44103850,28392638215,644.00,646.00,639.00,644.00,+2.00,41691
113/01/29,29828008,19268444564,646.00,648.00,644.00,648.00,+4.00,32347
113/01/30,40398877,26028211247,642.00,647.00,642.00,642.00,-6.00,35002
113/01/31,47554701,29978630024,634.00,637.00,626.00,628.00,-14.00,61811
113/02/01,46924943,29237425981,625.00,628.00,619.00,628.00, 0.00,51671
113/02/02,27797894,17563853315,633.00,635.00,628.00,635.00,+7.00,22257
113/02/05,48037344,30931242935,645.00,647.00,638.00,646.00,+11.00,51065
113/02/15,132263803,92592826951,709.00,709.00,693.00,697.00,+51.00,130374
113/02/16,48963167,33742716965,697.00,699.00,683.00,683.00,-14.00,56882
113/02/19,36366837,24665534552,674.00,682.00,674.00,678.00,-5.00,35240
113/02/20,31403730,21494427969,675.00,688.00,675.00,687.00,+9.00,32847
113/02/21,31980543,21748906940,678.00,683.00,678.00,681.00,-6.00,36004
113/02/22,34269392,23664176835,695.00,695.00,685.00,692.00,+11.00,36998
113/02/23,48404478,33847447281,701.00,703.00,696.00,697.00,+5.00,48018
113/02/26,29976379,20917136411,700.00,700.00,695.00,698.00,+1.00,25850
113/02/27,35389548,24647159479,700.00,701.00,691.00,698.00, 0.00,31145
113/02/29,59337072,40973093720,691.00,698.00,688.00,690.00,-8.00,39066
113/03/01,24167721,16699995060,697.00,697.00,688.00,689.00,-1.00,26282
113/03/04,97210112,69868348694,714.00,725.00,711.00,725.00,+36.00,125799
113/03/05,73299411,53751887376,735.00,738.00,728.00,730.00,+5.00,69851
113/03/06,52464833,38203868985,718.00,738.00,717.00,735.00,+5.00,49897
113/03/07,80382406,61221034146,755.00,769.00,754.00,760.00,+25.00,96348
113/03/08,98069174,77295575097,795.00,796.00,772.00,784.00,+24.00,110758
113/03/11,73436931,56348050108,768.00,778.00,761.00,766.00,-18.00,107368
113/03/12,63336798,48288411581,757.00,771.00,754.00,770.00,+4.00,56154
113/03/13,43130896,33672441212,785.00,785.00,777.00,779.00,+9.00,37744
113/03/14,48964017,38196293503,779.00,785.00,770.00,784.00,+5.00,35137
113/03/15,80580846,61451780435,771.00,777.00,753.00,753.00,-31.00,95014
113/03/18,46006400,34967084535,754.00,765.00,754.00,764.00,X0.00,40073
113/03/19,32078900,24399917859,758.00,765.00,755.00,762.00,-2.00,31208
113/03/20,48788389,37117091830,764.00,769.00,752.00,758.00,-4.00,46702
113/03/21,47759094,37203673872,773.00,784.00,772.00,784.00,+26.00,48467
113/03/22,32629749,25521571701,788.00,789.00,775.00,785.00,+1.00,33054
113/03/25,21223414,16612693369,783.00,788.00,779.00,780.00,-5.00,24794
113/03/26,43103294,33847261033,788.00,792.00,776.00,782.00,+2.00,35046
